Player,Romanized Name,Nationality,Born,Status,Role,Team,Signature Heroes,Game Appearances,Approx. Total Winnings
Dank,,Australia,"May 10, 2003 (age 22)",Active,Tank,mud dog,"Winston, Wrecking Ball, Orisa",Overwatch Overwatch 2,"$12,556"
HEESUNG,Lee Hee-sung,South Korea,"June 20, 2006 (age 19)",Active,Tank,,"Winston, Ramattra, Sigma",Overwatch Overwatch 2,"$5,812"
Yunko,,Singapore,"January 24, 2005 (age 20)",Active,Flex,Full House,"Ramattra, Brigitte, Symmetra",Overwatch Overwatch 2,"$1,943"
Sley,Kim Jae-hwan,South Korea,"December  6, 2004 (age 20)",Active,Support,VARREL,"Zenyatta, Ana, Baptiste",Overwatch Overwatch 2,"$6,565"
SWOO,Yoo Ju-ho,South Korea,"January 24, 2007 (age 18)",Active,Tank,Inferno,"Winston, Ramattra, Sigma",Overwatch 2,"$1,397"
CHATCHAI,,,,,,,,,
Scarlett,Kwon Moon-kyung,South Korea,"April 13, 2005 (age 20)",Active,DPS,VEC,"Genji, Pharah, Tracer",Overwatch Overwatch 2,"$4,132"
Hypnotic,,Australia,"September 22, 2005 (age 19)",Active,Tank DPS,,"Doomfist, Genji, Sombra",Overwatch Overwatch 2,"$1,773"
RAYMOMO,Yu Yu-jui,Taiwan,"October  1, 2002 (age 22)",Active,Support,,"Zenyatta, Ana, Kiriko",Overwatch Overwatch 2,"$3,664"
sugarfree,,United States,"December 16, 2004 (age 20)",Active,DPS,Spacestation Gaming,"Genji, Echo, Tracer",Overwatch Overwatch 2,"$124,207"
SUZUME,,,,,,,,,
Ydot,,Japan,"July  1, 2003 (age 22)",Active,Support,REJECT,"Ana, Kiriko, Moira",Overwatch 2,"$3,008"
Grapes,,United States,"November  6, 2002 (age 22)",Active,Support,Supernova Fisher College,"Lúcio, Baptiste, Brigitte",Overwatch Overwatch 2,"$11,313"
KiWii,,United Kingdom United States Ireland,"January 21, 2006 (age 19)",Active,Support,Fisher College,"Baptiste, Kiriko",Overwatch 2,"$3,310"
Undersea,Shunsei Fujii,Japan,"April  1, 2001 (age 24)",Active,DPS,Lazuli,"Genji, Echo, Sombra",Overwatch Overwatch 2,"$3,261"
Farway1987,Cao Jiale,China,"September 11, 2001 (age 23)",Active,Support,Team CC,"Zenyatta, Ana, Baptiste",,"$85,575"
Vestola,,Finland,"April  7, 2000 (age 25)",Active,Tank,Virtus.pro,"D.Va, Sigma, Ramattra",Overwatch Overwatch 2,"$73,662"
Proper,Kim Dong-hyun,South Korea,"December  1, 2003 (age 21)",Active,DPS,Team Falcons,"Tracer, Genji, Sojourn",Overwatch Overwatch 2,"$225,255"
Catlight,Choi Jun-seong,South Korea,"April 26, 2004 (age 21)",Active,DPS Coach,,"Symmetra, Torbjörn",Overwatch 2,$945
xten,,Cambodia United States,"October 27, 2005 (age 19)",Active,DPS,Sakura Esports,"Sojourn, Widowmaker, Ashe",Overwatch 2,"$5,185"
Pineapple,Li Zhuo,China,"August  4, 2003 (age 21)",Active,DPS Support,Team CC,"Tracer, Kiriko, Cassidy",Overwatch,"$109,381"
China,,,,,,,,,
v1ctory,,Canada,,Active,DPS,DhillDucks,"Widowmaker, Ashe, Cassidy",Overwatch Overwatch 2,"$2,305"
Ecc,Luo Weitai,China,"February 18, 2002 (age 23)",Active,Manager DPS,Team Equal,"Genji, Tracer, Reaper",Overwatch 2,"$1,568"
ARCHE,Kim Tae-ha,South Korea,"January  5, 2004 (age 21)",Active,Coach DPS,New Era,"Widowmaker, Ashe, Tracer",Overwatch Overwatch 2,"$2,038"
Suraimu,,Japan,"March 28, 2002 (age 23)",Active,Support,Please Not Hero Ban,"Illari, Bastion, D.Va",Overwatch 2,$983
Wolf,,United States,,Retired,DPS,,"Cassidy, Widowmaker",Overwatch Overwatch 2,"$1,279"
pdk,,United States,"July 22, 2006 (age 19)",Active,Flex Manager,University of Utah DhillDucks,"Tracer, Junkrat, Ashe",Overwatch Overwatch 2,"$1,503"
Mashiro,Tang Jiaqi,China,"November 24, 2002 (age 22)",Active,DPS Support,Homie E,"Winston, Mauga, Tracer",Overwatch Overwatch 2,"$1,774"
LUX,,,,,,,,,
epic,Takumi Ohta,Japan,"April  6, 2002 (age 23)",Active,Support,REJECT,"Brigitte, Lúcio, Kiriko",Overwatch Overwatch 2,"$2,316"
selfish,Sakaki Ryuichi,Japan,,Active,Support,Inferno,"Ana, Moira, Brigitte",,"$2,617"
Raikker,,United States,"February  9, 2005 (age 20)",Active,Tank Coach,,"Wrecking Ball, Winston, Doomfist",Overwatch Overwatch 2,"$21,261"
HeeSang,Chae Hee-sang,South Korea,"March  3, 2005 (age 20)",Active,DPS,Crazy Raccoon,"Genji, Tracer, Echo",Overwatch Overwatch 2,"$172,283"
Strebor,,United Kingdom,,Active,Support,,"Lúcio, Brigitte, Zenyatta",Overwatch Overwatch 2,"$4,382"
Kani,,Brazil,"November  8, 2007 (age 17)",Active,Tank,ZoKorp Esports,"D.Va, Junker Queen, Zarya",Overwatch 2,"$2,161"
NenWhy,,United States,"July 23, 2005 (age 20)",Active,Support,Extinction Bryant & Stratton College Virginia Avidity Kittens,"Mercy, Lúcio, Brigitte",Overwatch 2,"$6,821"
CrazyCat,,United States,,Active,Support,Amplify,"Kiriko, Juno, Baptiste",Overwatch 2,"$1,022"
Ade,Lee Ji-hwan,South Korea,"January 17, 2004 (age 21)",Active,DPS,All Gamers Global,"Ashe, Sojourn, Freja",Overwatch Overwatch 2,"$18,106"
Takoyaki,Lee Young-hyun,South Korea,"April 18, 2003 (age 22)",Inactive,Tank,,"Reinhardt, Winston, Orisa",Overwatch Overwatch 2,"$22,911"
WilmaFistFit,,Ecuador United States,,Active,DPS Support,ZoKorp Esports,,Overwatch 2,$190
Chopper,,United States South Korea,"June  4, 2003 (age 22)",Active,DPS,,"Sojourn, Genji, Widowmaker",Overwatch Overwatch 2,"$19,054"
Ezhan,Lee Ji-han,South Korea,"December 14, 2003 (age 21)",Active,DPS,,"Widowmaker, Ashe, Sojourn",Overwatch Overwatch 2,"$15,686"
Dororo,,,,,,,,,
D0nghun,Park Dong-hun,South Korea,"February  1, 2006 (age 19)",Active,Support,Team Vision,"Lúcio, Brigitte, Baptiste",Overwatch Overwatch 2,"$10,246"
Lavender,Lee Seung-je,South Korea,"June  2, 2005 (age 20)",Active,Support,Team Equal,"Ana, Zenyatta, Baptiste",Overwatch 2,"$1,030"
Hope,Jerry Ho,Taiwan,"March 20, 2001 (age 24)",Active,DPS,,"Tracer, Echo, Hanzo",Overwatch Overwatch 2,"$2,390"
GACHAPIN,,Japan,"January 23, 2005 (age 20)",Active,DPS,Please Not Hero Ban,"Sojourn, Widowmaker, Ashe",Overwatch 2,$912
pressure,Jeong Hyeong-ju,South Korea,"September 12, 2001 (age 23)",Active,Tank,,"Sigma, Zarya, D.Va",Overwatch Overwatch 2,"$7,221"
Leave,Huang Xin,China,"October 23, 2001 (age 23)",Active,DPS,Weibo Gaming,"Tracer, Echo, Hanzo",Overwatch Overwatch 2,"$246,397"
Zydra,,Austria,"September 26, 2002 (age 22)",Active,DPS,1DIPVS100GORILLAS,"Sombra, Sojourn, Cassidy",Overwatch Overwatch 2,"$3,183"
Action,Nakamura Tsubasa,Japan,"November  7, 2000 (age 24)",Active,Tank,Nyam Gaming,"Winston, Ramattra, Hazard",Overwatch Overwatch 2,$589
Solo,,Canada,"June 30, 2004 (age 21)",Active,Tank,Shikigami Toronto Metropolitan University,"Junker Queen, Winston, Orisa",Overwatch 2,"$2,269"
Poke,,Peru,"April  6, 2000 (age 25)",Active,Support Coach,ZoKorp Esports,"Zenyatta, Baptiste, Ana",Overwatch Overwatch 2,"$5,026"
yumilalan,,Japan,"July 20, 2006 (age 19)",Active,Tank,Aplomb Tiger,"Sigma, Hazard, Ramattra",Overwatch 2,$303
Mihawk,Ukihasu Sho,Japan,,Active,Streamer DPS,VARREL,"Widowmaker, Ashe, Hanzo",Overwatch Overwatch 2,"$8,731"
BERNAR,Shin Se-won,South Korea,"August 18, 2000 (age 24)",Active,Tank,ZETA DIVISION,"D.Va, Zarya, Sigma",Overwatch Overwatch 2,"$159,021"
sHockWave,,Denmark,"July 25, 2000 (age 25)",Active,DPS,Virtus.pro,"Widowmaker, Echo, Ashe",Overwatch Overwatch 2,"$52,965"
FiNN,Oh Se-jin,South Korea Japan,"September 19, 2003 Minamichita, Japan (age 21)",Active,Support,ZETA DIVISION,"Zenyatta, Ana, Kiriko",Overwatch Overwatch 2,"$175,095"
MCD,Lee Jeong-ho,South Korea,"December 25, 1998 (age 26)",Active,Support,,"Zenyatta, Ana, Moira",Overwatch Overwatch 2,"$58,780"
Ace,,Switzerland Turkey,"September 23, 2005 (age 19)",Active,DPS,Wasp X Ohhhh No,"Tracer, Mei, Echo",Overwatch Overwatch 2,"$2,386"
Maltma,,Australia,"February 29, 2000 (age 25)",Active,Support,FURY,"Baptiste, Lúcio, Moira",Overwatch 2,$405
Hitori,,Germany,"December  1, 2004 (age 20)",Active,Tank,Extinction Avidity Kittens,"Winston, Ramattra, D.Va",Overwatch Overwatch 2,"$8,645"
Exia,Shin Jae-hyeok,South Korea,,Retired,Support,,,Overwatch,"$2,384"
SeonJun,Park Seon-jun,South Korea,"March 23, 2006 (age 19)",Active,DPS Tank,All Gamers Global,"Tracer, Genji, Venture",Overwatch Overwatch 2,"$14,871"
Punk,,Australia,"October 22, 2001 (age 23)",Active,Tank,The Gatos Guapos,"Junker Queen, D.Va, Zarya",Overwatch Overwatch 2,"$19,428"
Kutoto,,,,,,,,,
Admiral,,Estonia,"May 28, 2001 (age 24)",Active,Support,Geekay Esports,"Lúcio, Brigitte, Lifeweaver",Overwatch Overwatch 2,"$99,519"
BaLLisTa,,,,,,,,,
Tomosa,,,,,,,,,
Mag,Kim Tae-sung,South Korea,"June 12, 2002 (age 23)",Active,Tank,,"Reinhardt, Winston, Wrecking Ball",Overwatch Overwatch 2,"$66,037"
Galaa,,Spain,"April  9, 2004 (age 21)",Active,Support,Virtus.pro,"Illari, Kiriko, Lúcio",Overwatch Overwatch 2,"$30,436"
tengyuan,Kang Jintao,China,"May  4, 2002 (age 23)",Active,DPS,ZONES,"Tracer, Sojourn, Genji",,$837
M1NUT2,Seo Min-seo,South Korea,"June 20, 2003 (age 22)",Active,DPS,,"Ashe, Widowmaker, Tracer",Overwatch Overwatch 2,"$6,199"
Stalk3r,Jeong Hak-yong,South Korea,"August 26, 2003 (age 21)",Active,DPS,Team Falcons,"Genji, Tracer, Echo",Overwatch Overwatch 2,"$191,003"
Hanbin,Choi Han-been,South Korea,"February 20, 2002 (age 23)",Active,Tank,Team Falcons,"Sigma, Zarya, Junker Queen",Overwatch Overwatch 2,"$233,502"
eYeKu,,Japan,"March  9, 2002 (age 23)",Active,Support,INSOMNIA,"Ana, Kiriko",Overwatch Overwatch 2,$883
SORI,,,,,,,,,
kiru01,Katsutaka Arai,Japan,"November 29, 1997 (age 27)",Active,Support,VortexWolf,"Kiriko, Baptiste, Lifeweaver",Overwatch Overwatch 2,"$2,558"
baz,,United States,"August 25, 2001 (age 23)",Active,Tank Coach,DhillDucks,"Winston, Ramattra, Lúcio",Overwatch Overwatch 2,"$1,929"
LiGe,Jia Chengjie,China,"September  6, 2001 (age 23)",Active,Tank,Weibo Gaming,"Sigma, D.Va, Zarya",,"$61,250"
Yoshinori2k,Napawee Suwannasak,Thailand,"October 16, 2007 (age 17)",Active,DPS,Full House,"Tracer, Ashe, Genji",Overwatch Overwatch 2,"$6,956"
squid,,United States,"May  3, 2004 (age 21)",Active,Support DPS,Spacestation Gaming,"Kiriko, Zenyatta, Ana",Overwatch Overwatch 2,"$24,271"
Neivis,,Japan,"November 11, 2001 (age 23)",Active,Support,Please Not Hero Ban,"Ana, Zenyatta, Mei",Overwatch Overwatch 2,"$2,471"
Kyo,,Brazil,,Retired,Tank,,,Overwatch,"$3,172"
DOX,Kim Min-seok,South Korea,,Active,Coach Tank,VEC,,Overwatch,$50
xomba,,United States,"October 27, 2007 (age 17)",Active,DPS,Extinction,"Tracer, Sojourn, Cassidy",Overwatch 2,"$5,661"
OLAM,,Australia,,Active,DPS,mud dog,"Tracer, Mei, Reaper",Overwatch Overwatch 2,"$4,951"
Graveyard,,Canada,"September 26, 2005 (age 19)",Active,Support Coach,,"Kiriko, Ana, Illari",Overwatch 2,"$2,831"
Beeple,,,,,,,,,
Skytorr,,Belgium,"July 28, 2003 (age 22)",Active,Tank,,"Winston, Doomfist, Mauga",Overwatch Overwatch 2,"$5,844"
CCJPITY,Chen Xinyuan,China,"July  4, 2003 (age 22)",Active,DPS,Team XX,"Ashe, Cassidy, Widowmaker",,"$4,434"
Sakume,,Japan,"April 23, 1999 (age 26)",Active,Support,REJECT,"Ana, Zenyatta, Kiriko",Overwatch Overwatch 2,"$3,419"
FiXa,Kwon Yeong-hun,South Korea,"May  2, 2004 (age 21)",Active,Support,Virtus.pro,"Brigitte, Lúcio, Ana",Overwatch Overwatch 2,"$62,425"
BreadTurtle,Lee Tae-mok,South Korea,"April 11, 2004 (age 21)",Active,DPS Support,Inferno The Bakery,"Kiriko, Ana",Overwatch Overwatch 2,"$1,752"
Argon,Kim Han-saem,South Korea,"August 15, 2005 (age 19)",Active,DPS,Team XX,"Tracer, Echo, Genji",Overwatch Overwatch 2,"$4,472"
TR33,,United States South Korea,"May 10, 2007 (age 18)",Active,DPS Support,Team Liquid,"Sojourn, Tracer, Hanzo",Overwatch Overwatch 2,"$51,155"
Apr1ta,Li Yuanjinghao,China,"September  8, 2003 (age 21)",Active,DPS,Weibo Gaming,"Tracer, Ashe, Cassidy",,"$34,132"
skewed,Kim Min-seok,South Korea,"January 11, 2001 (age 24)",Active,Support,T1,"Zenyatta, Ana, Brigitte",Overwatch Overwatch 2,"$132,415"
Mazz,,Japan,"January 14, 2001 (age 24)",Active,Support,Aplomb Tiger,"Ana, Zenyatta, Brigitte",Overwatch Overwatch 2,"$1,447"
Keiou,,Japan,,Active,Support,JKOT,"Lúcio, Brigitte",Overwatch 2,$535
Kairen,,Thailand,"August 19, 2005 (age 19)",Active,Tank,Cold Metal,"Winston, Orisa, Wrecking Ball",Overwatch 2,"$2,598"
KSAA,Alhumaidi Alruwaili,Saudi Arabia United States,"March 28, 2001 (age 24)",Active,Tank,Twisted Minds,"D.Va, Sigma, Ramattra",Overwatch Overwatch 2,"$100,664"
JaeWoo,Kim Jae-woo,South Korea,"June 19, 2007 (age 18)",Active,DPS,Virtus.pro,"Tracer, Echo, Genji",Overwatch Overwatch 2,"$16,710"
shkyp,,Pakistan Australia,,Active,DPS,FURY,"Tracer, Genji",Overwatch Overwatch 2,"$1,031"
Jaelun,,,,,,,,,
Yott1y,,,,,,,,,
Romani,,United States Turkey,"March  3, 2003 (age 22)",Active,Tank,Factor X,"Junker Queen, Roadhog, Ramattra",Overwatch Overwatch 2,"$7,608"
Sp1nel,Lee Chang-sub,South Korea,"January 11, 2005 (age 20)",Active,Support,Lazuli,"Lúcio, Ana, Baptiste",Overwatch Overwatch 2,"$4,293"
Vega,,United States Mexico,"May 31, 2006 (age 19)",Active,Support,Team Liquid,"Lúcio, Brigitte, Illari",Overwatch Overwatch 2,"$104,882"
Kotaro,,Japan,,Active,Tank,REVATI,,,"$1,303"
Prologue,Sakaki Ryuichi,Japan,,Active,Support,Inferno,"Ana, Moira, Brigitte",,"$2,617"
Qutyan,,,,,,,,,
Rajeem,,India United States,"May 19, 2006 (age 19)",Active,Support,Uni Academy Bellevue University ExO: Sakura Cross Soul,"Lúcio, Brigitte, Kiriko",Overwatch Overwatch 2,"$3,428"
rzr,,Canada,"September  6, 2002 (age 22)",Active,DPS Support,St. Clair College DhillDucks,"Genji, Echo, Tracer",Overwatch Overwatch 2,"$10,922"
Meng,Ding Menghan,China,"September 29, 1996 (age 28)",Active,Tank,Milk Tea,"Wrecking Ball, Orisa, Reinhardt",,"$38,357"
Willys07,,Sweden,"November  1, 2007 (age 17)",Active,Tank,,"D.Va, Sigma, Ramattra",Overwatch Overwatch 2,"$3,919"
Momoga,,China,,Active,Support,Little Sheep,,Overwatch Overwatch 2,"$3,539"
Painkiller,,United States,"April 12, 2004 (age 21)",Active,Tank,Sign Esports NTMR Northwood University Blue,"Ramattra, Junker Queen, D.Va",Overwatch 2,"$4,901"
Pelican,Oh Se-hyun,South Korea,"July  5, 2002 (age 23)",Active,DPS Coach,ZETA DIVISION,"Echo, Genji, Mei",Overwatch Overwatch 2,"$327,842"
Kiibo,,Japan,"December 28, 2002 (age 22)",Active,Support Streamer,Inferno Nyam Gaming,"Lúcio, Brigitte",Overwatch 2,$992
MuZe,Kim Young-hun,South Korea,"September 16, 2002 (age 22)",Active,Coach Tank,Lazuli,"Winston, Wrecking Ball, Reinhardt",Overwatch Overwatch 2,"$74,618"
Kame,,Singapore,"March  5, 2001 (age 24)",Active,Support Flex,I LOVE YOU,"Ana, Kiriko, Tracer",Overwatch Overwatch 2,"$7,825"
Hadi,,Germany Lebanon,"October  9, 2000 (age 24)",Active,Tank Coach,,"Reinhardt, Wrecking Ball, Mauga",Overwatch Overwatch 2,"$121,014"
Arc,,,,,,,,,
NewJ,,Japan,,Active,DPS,Lazuli,"Sojourn, Ashe, Widowmaker",Overwatch 2,"$1,506"
OPENER,An Gi-beom,South Korea,"April  3, 2004 (age 21)",Active,Support,ONSIDE GAMING,"Lúcio, Mercy, Brigitte",Overwatch Overwatch 2,"$11,411"
Soll,,,,,,,,,
A1IEN,Han Yu-bin,South Korea,"June 26, 2005 (age 20)",Active,DPS,Poker Face,"Sojourn, Widowmaker, Ashe",Overwatch Overwatch 2,"$13,040"
Hysteria,Wang Yihao,China,,Active,Support,,,,"$9,618"
Schwi,Lee Dong-jae,South Korea,"October  6, 2001 (age 23)",Active,Support DPS,,"Kiriko, Pharah, Doomfist",Overwatch Overwatch 2,"$23,505"
Winter,Wang Feiyu,China,,Retired,DPS,,"Tracer, Genji, Pharah",,"$40,272"
SP1NT,An Woo-jin,South Korea,"December 28, 2007 (age 17)",Active,DPS,Poker Face,"Genji, Tracer, Echo",Overwatch Overwatch 2,"$4,721"
shy,Zheng Yangjie,China,"October 22, 2002 (age 22)",Active,DPS,Weibo Gaming,"Widowmaker, Sojourn, Ashe",Overwatch,"$147,718"
Noricutea,,,,,,,,,
TOPDRAGON,Jeong Seung-yong,South Korea,"January  3, 2005 (age 20)",Active,DPS,VARREL,"Echo, Pharah, Genji",Overwatch Overwatch 2,"$32,396"
Kalios,Shin Wooyul,South Korea,"November  9, 1998 (age 26)",Active,Tank Coach,REJECT,"Zarya, D.Va, Junker Queen",Overwatch Overwatch 2,"$55,614"
Vindaim,Park Jun-woo,South Korea,"August 30, 2003 (age 21)",Active,Support,,"Brigitte, Lúcio, Mercy",Overwatch Overwatch 2,"$48,330"
FunnyAstro,,United Kingdom,"March 21, 2000 (age 25)",Active,Support,Twisted Minds,"Lúcio, Brigitte, Juno",Overwatch Overwatch 2,"$247,849"
Hamumaru,,Japan,,Active,Support,,"Illari, Ana, Juno",Overwatch 2,$283
intark,Choi In-tark,South Korea,"November 19, 2004 (age 20)",Active,Support,MENG GONG 2,"Brigitte, Lúcio, Mercy",Overwatch 2,$370
Quartz,Ibrahem Alali,Saudi Arabia,"February 12, 2005 (age 20)",Active,DPS,Twisted Minds,"Widowmaker, Ashe, Sojourn",Overwatch Overwatch 2,"$115,343"
Zorrow,,Sweden,"February 16, 2006 (age 19)",Active,DPS Coach,Anomaly,"Cassidy, Sojourn, Ashe",Overwatch 2,"$3,723"
Soulsay,,Canada Japan,"August 30, 2005 (age 19)",Active,DPS,EXN Zero,"Tracer, Genji, Echo",Overwatch 2,$691
WMaimone,,Wales United Kingdom,"April 26, 2004 (age 21)",Active,DPS,Geekay Esports,"Tracer, Echo, Sombra",Overwatch Overwatch 2,"$49,527"
Farway2025,Cao Jiale,China,"September 11, 2001 (age 23)",Active,Support,Team CC,"Zenyatta, Ana, Baptiste",,"$85,575"
Unkn0w,Ren Yanchao,China,"July 23, 2003 (age 22)",Active,Support,Team CC,"Brigitte, Lúcio, Mercy",,"$4,257"
Osato,,,,,,,,,
Frogger,,Australia,January 11,Active,Support Streamer,MFC,,Overwatch Overwatch 2,"$14,731"
Maksal,,Thailand,"April 11, 2003 (age 22)",Active,Support DPS,,"Kiriko, Tracer, Lúcio",Overwatch Overwatch 2,"$1,211"
CQB,Yang Hao-cheng,Taiwan,"February 12, 1998 (age 27)",Active,Support,MENG GONG 2,,Overwatch Overwatch 2,"$40,886"
CINNAMON,,,,,,,,,
Mmonk,Zhou Xiang,China,"August  9, 2001 (age 23)",Active,Support,Weibo Gaming,"Ana, Zenyatta, Baptiste",,"$96,268"
sgy,,Singapore,"September 11, 2003 (age 21)",Active,DPS,,"Tracer, Echo, Junkrat",Overwatch Overwatch 2,"$23,498"
Natsuki,,Netherlands,"February 13, 1998 (age 27)",Active,Support,1DIPVS100GORILLAS,"Brigitte, Lúcio, Baptiste",Overwatch Overwatch 2,"$4,049"
Rupal,,United States Bangladesh,"September  4, 2002 (age 22)",Active,Support,Team Liquid,"Baptiste, Ana, Kiriko",Overwatch Overwatch 2,"$339,037"
RhynO,,United States,"March 15, 2006 (age 19)",,Tank,Sign Esports NTMR,"Orisa, Reinhardt, Wrecking Ball",Overwatch Overwatch 2,"$28,806"
Fari,Wang Qirong,China,,Active,DPS,Homie E,"Widowmaker, Ashe, Sojourn",,"$3,961"
Gilly,,Australia,"October 22, 2001 (age 23)",Active,Tank,The Gatos Guapos,"Junker Queen, D.Va, Zarya",Overwatch Overwatch 2,"$19,428"
LadyLu,,,,,,,,,
M00N,Lee Chou-hsuan,Taiwan,"February 19, 2005 (age 20)",Active,Support,MENG GONG 2,"Ana, Kiriko, Zenyatta",Overwatch 2,$417
Shu,Kim Jin-seo,South Korea,"July 12, 2000 (age 25)",Active,Support,Crazy Raccoon,"Baptiste, Zenyatta, Ana",Overwatch Overwatch 2,"$417,048"
PAK,,France,,Active,DPS,Frost Tails eSport,"Genji, Mei, Symmetra",Overwatch Overwatch 2,"$7,041"
cinnabar,,United States Philippines,"February 11, 2006 (age 19)",Active,Support,Sakura Esports DhillKucks,"Lúcio, Brigitte, Mercy",Overwatch 2,"$4,203"
ZIYAD,Ziyad,Saudi Arabia,"September 21, 2007 (age 17)",Active,Tank,Al Qadsiah,"D.Va, Sigma, Junker Queen",Overwatch 2,"$16,733"
CLEAR,,United States,"April 24, 2004 (age 21)",Active,Tank,Sakura Esports Boise State University,"D.Va, Junker Queen, Mauga",Overwatch Overwatch 2,"$27,399"
RLG5656,,Japan,"January 20, 1997 (age 28)",Active,DPS,Please Not Hero Ban,,Overwatch 2,$983
redex,,Canada,"July 17, 2002 (age 23)",Active,Support,St. Clair College DhillDucks Tanuki Tapire,"Lúcio, Baptiste, Zenyatta",Overwatch Overwatch 2,"$4,220"
Roxy,Park Si-heon,South Korea,"July 12, 2005 (age 20)",Active,Tank,Nyam Gaming,"D.Va, Sigma, Zarya",Overwatch Overwatch 2,"$2,451"
peace,,United States,"June 17, 2003 (age 22)",Active,DPS,Sakura Esports DhillKucks Bryant & Stratton College Virginia,"Genji, Echo, Hanzo",Overwatch Overwatch 2,"$9,246"
JUTSU,,United States United Kingdom,"November 25, 2004 (age 20)",Active,DPS,Supernova,"Widowmaker, Sojourn, Ashe",Overwatch 2,"$3,395"
irony,Kim Hyeong-woo,South Korea,"January  7, 2002 (age 23)",Active,Support,ONSIDE GAMING,"Zenyatta, Ana, Moira",Overwatch Overwatch 2,"$56,188"
XLIM,,,,,,,,,
Joo,,Malaysia,"May 15, 2004 (age 21)",Active,DPS,Full House,"Sojourn, Cassidy, Tracer",Overwatch Overwatch 2,"$2,273"
JY2006,,,,,,,,,
Jaya,Gong Jun,China,"July 20, 2000 (age 25)",Active,Tank Flex,,"Tracer, Genji, Hazard",Overwatch 2,"$4,012"
DMS,Luo Jiahao,China,"November 23, 1998 (age 26)",Active,Support,,"Lúcio, Mercy, Brigitte",,"$6,097"
Fielder,Kwon Joon,South Korea,"January 29, 2002 (age 23)",Active,Support,Team Falcons,"Baptiste, Ana, Kiriko",Overwatch Overwatch 2,"$456,773"
Achieve,,,,,,,,,
Angey,,,,,,,,,
Asuna,,,,,,,,,
Xii,Gong Zixi,China,"July 12, 2000 (age 25)",Active,Support,Milk Tea,"Lúcio, Mercy",,"$11,281"
SOMEONE,Ham Jeong-wan,South Korea,"April 24, 2004 (age 21)",Active,Tank,Team Falcons,"Reinhardt, Winston, Ramattra",Overwatch Overwatch 2,"$336,109"
zzz,,United States,"April 25, 2003 (age 22)",Active,Support,Sakura Esports DhillKucks,"Baptiste, Kiriko, Ana",Overwatch Overwatch 2,"$24,019"
AlphaYi,Kim Jun,South Korea,"November 27, 2002 (age 22)",Active,Support DPS,ZETA DIVISION,"Genji, Tracer, Echo",Overwatch Overwatch 2,"$80,680"
nvm,,United States,"July  1, 2005 (age 20)",Active,DPS,"Extinction University of California, Santa Cruz","Tracer, Genji, Pharah",Overwatch 2,"$3,634"
HVS,Nathawit Prajong,Thailand,"November 26, 2004 (age 20)",Active,DPS,,"Sojourn, Ashe, Cassidy",Overwatch 2,"$9,487"
M0CHA,Ma Chenyu,China,,Active,Tank,Team Equal Euphoria,,,"$8,837"
JINSUNG,Jung Jin-sung,South Korea,"November  9, 2005 (age 19)",Active,Support,,"Ana, Zenyatta, Kiriko",Overwatch Overwatch 2,"$2,813"
Lethal,,Turkey,"October  1, 2002 (age 22)",Active,DPS,Geekay Esports,"Ashe, Widowmaker, Cassidy",Overwatch Overwatch 2,"$63,887"
TOMITAKEexe,,,,,,,,,
Ryan,Ryan Abdullah,Saudi Arabia,,Retired,Support,,"Zenyatta, Ana",Overwatch Overwatch 2,"$5,819"
Jae,,Vietnam Australia,"April 28, 2003 (age 22)",Active,Support,mud dog,"Brigitte, Kiriko, Lúcio",Overwatch Overwatch 2,"$3,483"
Crimsyn,,New Zealand,,Active,Support,mud dog,"Ana, Zenyatta, Baptiste",Overwatch Overwatch 2,"$6,031"
qki,Hirayama Nariaki,Japan,"February 20, 1998 (age 27)",Active,DPS,VARREL,"Sombra, Tracer, Echo",Overwatch Overwatch 2,"$8,717"
Hofac,Noh Jung-woo,South Korea,"January 27, 2005 (age 20)",Active,DPS,,"Sojourn, Widowmaker, Cassidy",Overwatch Overwatch 2,"$2,771"
kevster,,Sweden,"May 21, 2001 (age 24)",Active,DPS,The Ultimates,"Tracer, Genji, Widowmaker",Overwatch Overwatch 2,"$173,996"
CH0R0NG,Sung Yoo-min,South Korea,"December  8, 2003 (age 21)",Active,Support,Crazy Raccoon,"Lúcio, Brigitte, Kiriko",Overwatch Overwatch 2,"$393,157"
FrothyFilly7,,United States,"May 18, 2004 (age 21)",Active,Support,DhillDucks,"Kiriko, Baptiste, Ana",Overwatch Overwatch 2,"$1,725"
Pride,Deng Shihang,China,"January  3, 2004 (age 21)",Active,DPS,ZONES,"Genji, Echo, Tracer",Overwatch,"$2,141"
Mememachine,,Singapore,"November 12, 2000 (age 24)",Active,Support Manager,Cold Metal,"Brigitte, Lúcio, Lifeweaver",Overwatch Overwatch 2,"$2,906"
Kim,Liang Yibin,China,"March  9, 2003 (age 22)",Active,Support,,"Juno, Ana, Kiriko",,"$2,873"
Netra,,United Kingdom,"April  1, 2005 (age 20)",Active,Support,,"Kiriko, Baptiste, Ana",Overwatch 2,"$1,314"
Alphari,Hua Yankai,China,"September 13, 2005 (age 19)",Active,DPS,Little Sheep,"Genji, Tracer, Pharah",,"$3,263"
Mayweather,,,,,,,,,
ike,,Australia,,Inactive,DPS,,"Tracer, Hanzo, Widowmaker",Overwatch,"$3,225"
