Player,Romanized Name,Nationality,Born,Status,Role,Team,Approx. Total Winnings,Signature Heroes,Game Appearances
Checkmate,Baek Seung-hun,South Korea,"May  8, 2001 (age 24)",Active,DPS,Al Qadsiah,"$286,364","Genji, Tracer, Echo","Overwatch, Overwatch 2"
TVNT,Abdualziz Altmimi,Saudi Arabia,"October 19, 2005 (age 19)",Active,Tank,Twisted Minds,"$49,889","Sigma, D.Va, Ramattra","Overwatch, Overwatch 2"
AOY,Abdulrahman Yousef,Saudi Arabia,"January 18, 2003 (age 22)",Active,"Support, Tank",,"$12,761","Lúcio, Ana, Baptiste","Overwatch, Overwatch 2"
Izayaki,Kim Min-chul,South Korea,"February 22, 2000 (age 25)",Retired,Support,,"$343,106","Zenyatta, Ana, Baptiste","Overwatch, Overwatch 2"
SparkR,,Sweden,"June 10, 2003 (age 22)",Inactive,DPS,,"$103,355","Ashe, Sojourn, Cassidy","Overwatch, Overwatch 2"
Backbone,,United Kingdom,"July 20, 2003 (age 22)",Retired,DPS,,"$82,999","Mei, Symmetra, Hanzo","Overwatch, Overwatch 2"
Seicoe,,Austria,November 19,Active,DPS,Twisted Minds,"$79,579","Echo, Mei, Venture","Overwatch, Overwatch 2"
Hadi,,"Germany, Lebanon","October  9, 2000 (age 24)",Active,"Tank, Coach",,"$121,014","Reinhardt, Wrecking Ball, Mauga","Overwatch, Overwatch 2"
FunnyAstro,,United Kingdom,"March 21, 2000 (age 25)",Active,Support,Twisted Minds,"$247,849","Lúcio, Brigitte, Juno","Overwatch, Overwatch 2"
Landon,,United States,"November  7, 2001 (age 23)",Active,Support,Al Qadsiah,"$114,937","Baptiste, Kiriko, Brigitte","Overwatch, Overwatch 2"
sHockWave,,Denmark,"July 25, 2000 (age 25)",Active,DPS,Virtus.pro,"$52,965","Widowmaker, Echo, Ashe","Overwatch, Overwatch 2"
Clowd,,Finland,"August 13, 2003 (age 21)",Active,DPS,SrPeakCheck,"$26,785","Hanzo, Doomfist, Pharah","Overwatch, Overwatch 2"
Cookie084,,Germany,,Active,"DPS, Coach",Team Peps,"$11,998","Sojourn, Widowmaker","Overwatch, Overwatch 2"
Chase,Oleksandr Okseschenko,Ukraine,"April 23, 2004 (age 21)",Active,Tank,,"$20,400","Wrecking Ball, Winston, Doomfist","Overwatch, Overwatch 2"
crispy,,United Kingdom,"April 25, 2005 (age 20)",Active,Support,,"$14,281","Lúcio, Mercy, Brigitte","Overwatch, Overwatch 2"
Khenail,,Spain,"August 20, 2005 (age 19)",Active,Support,Gen.G Esports,"$31,068","Baptiste, Zenyatta, Ana","Overwatch, Overwatch 2"
Condi,,"South Africa, Italy, United Kingdom","December 27, 2001 (age 23)",Active,DPS,,"$2,205","Mei, Tracer, Torbjörn","Overwatch, Overwatch 2"
xzodyal,,Spain,"December 29, 2006 (age 18)",Active,"DPS, Coach",Gen.G Esports,"$10,747","Sojourn, Cassidy, Widowmaker",Overwatch 2
W1ll,,Denmark,"November 17, 2005 (age 19)",Retired,DPS,,"$2,685","Echo, Tracer, Sojourn","Overwatch, Overwatch 2"
NKZ,,Netherlands,,Active,Tank,,"$7,427","D.Va, Zarya, Sigma","Overwatch, Overwatch 2"
Skytorr,,Belgium,"July 28, 2003 (age 22)",Active,Tank,,"$5,844","Winston, Doomfist, Mauga","Overwatch, Overwatch 2"
ilppi13,,Finland,"April 17, 1997 (age 28)",Active,"Support, Coach",SrPeakCheck,"$2,936","Zenyatta, Kiriko, Ana","Overwatch, Overwatch 2"
Strebor,,United Kingdom,,Active,Support,,"$4,382","Lúcio, Brigitte, Zenyatta","Overwatch, Overwatch 2"
yoham,,Denmark,"July 28, 2003 (age 22)",Active,Support,,"$7,580","Baptiste, Kiriko, Ana","Overwatch, Overwatch 2"
phi,,Germany,"August 16, 2001 (age 23)",Active,"Coach, DPS",,"$17,168","Tracer, Cassidy, Mei","Overwatch, Overwatch 2"
Dannedd,,Sweden,"December  3, 1997 (age 27)",Active,DPS,SrPeakCheck,"$55,278","Doomfist, Genji, Hanzo","Overwatch, Overwatch 2"
Grathen,,Ireland,"April 15, 2003 (age 22)",Active,DPS,,"$20,503","Cassidy, Ashe, Widowmaker","Overwatch, Overwatch 2"
Shax,,Denmark,"April  9, 1999 (age 26)",Retired,DPS,,"$37,673","Tracer, Widowmaker, Cassidy","Overwatch, Overwatch 2"
Daan,,Netherlands,"February  6, 2001 (age 24)",Retired,Tank,,"$13,466","Wrecking Ball, Winston, Reinhardt","Overwatch, Overwatch 2"
Twolzz,,Netherlands,"December 23, 2001 (age 23)",Active,"Tank, Flex",Extinction,"$10,878","D.Va, Sigma, Zarya","Overwatch, Overwatch 2"
Dolla,,Finland,"September 16, 2002 (age 22)",Retired,Support,,"$22,841","Lúcio, Brigitte, Baptiste","Overwatch, Overwatch 2"
Abheek,,United Kingdom,"January  6, 2002 (age 23)",Inactive,Support,,"$9,104","Zenyatta, Baptiste, Ana","Overwatch, Overwatch 2"
Hybrid,,,,,,,,,
Naga,,Denmark,"January 28, 2001 (age 24)",Inactive,DPS,,"$40,789","Genji, Pharah, Echo","Overwatch, Overwatch 2"
Stellios,,France,"March 14, 2004 (age 21)",Active,DPS,Team Peps,"$4,432","Tracer, Echo, Hanzo","Overwatch, Overwatch 2"
BenBest,,France,"November 17, 1995 (age 29)",Active,"Coach, Tank",,"$44,630","Reinhardt, Winston, Orisa","Overwatch, Overwatch 2"
FDGod,,"France, Indonesia","August 27, 2001 (age 23)",Active,Support,Team Peps,"$66,322","Lúcio, Brigitte, Mercy","Overwatch, Overwatch 2"
Kronus,,"Scotland, United Kingdom","March 27, 1999 (age 26)",Active,Support,,"$13,957","Lúcio, Baptiste, Mercy","Overwatch, Overwatch 2"
Dip,,France,"August 28, 2006 (age 18)",Active,DPS,Frost Tails eSport,"$5,029","Tracer, Genji, Echo",Overwatch 2
SharP,,Sweden,"December 10, 2001 (age 23)",Retired,DPS,,"$49,022","Tracer, Widowmaker, Reaper","Overwatch, Overwatch 2"
Doge,,Denmark,"January 25, 2001 (age 24)",Active,Tank,,"$25,777","Reinhardt, Wrecking Ball, Winston","Overwatch, Overwatch 2"
Buddie,,Netherlands,"July  9, 2004 (age 21)",Active,Support,,"$2,962","Ana, Zenyatta, Baptiste","Overwatch, Overwatch 2"
Natsuki,,Netherlands,"February 13, 1998 (age 27)",Active,Support,,"$4,049","Brigitte, Lúcio, Baptiste","Overwatch, Overwatch 2"
Lethal,,Turkey,"October  1, 2002 (age 22)",Active,DPS,Geekay Esports,"$63,887","Ashe, Widowmaker, Cassidy","Overwatch, Overwatch 2"
WMaimone,,"Wales, United Kingdom","April 26, 2004 (age 21)",Active,DPS,Geekay Esports,"$49,527","Tracer, Echo, Sombra","Overwatch, Overwatch 2"
cuFFa,,Australia,"August 19, 2003 (age 21)",Active,Tank,Geekay Esports,"$51,167","Winston, Wrecking Ball, Junker Queen","Overwatch, Overwatch 2"
ariel2,,Israel,"May  1, 2004 (age 21)",Active,Tank,,"$7,715","D.Va, Sigma, Ramattra","Overwatch, Overwatch 2"
Scyle,,Sweden,"October 27, 1999 (age 25)",Active,"Support, DPS",,"$16,051","Kiriko, Tracer, Zenyatta","Overwatch, Overwatch 2"
Admiral,,Estonia,"May 28, 2001 (age 24)",Active,Support,Geekay Esports,"$99,519","Lúcio, Brigitte, Lifeweaver","Overwatch, Overwatch 2"
Galaa,,Spain,"April  9, 2004 (age 21)",Active,Support,Virtus.pro,"$30,436","Illari, Kiriko, Lúcio","Overwatch, Overwatch 2"
Kaya,,Sweden,,Active,"Analyst, DPS",,"$4,777",,"Overwatch, Overwatch 2"
KayZzeR,,"France, Italy",,Active,DPS,,"$6,016","Mei, Sombra","Overwatch, Overwatch 2"
Ken,,Belgium,,Active,DPS,Team Peps,"$12,442","Ashe, Echo, Junkrat","Overwatch, Overwatch 2"
Necros,,Serbia,"March 28, 1999 (age 26)",Active,"DPS, Streamer",,"$4,652",,"Overwatch, Overwatch 2"
chazm,,United Kingdom,,Active,Tank,AWW YEAH,"$7,668",,"Overwatch, Overwatch 2"
Isack,,Norway,,Active,"Tank, Support",,"$7,699","Zarya, Roadhog, D.Va","Overwatch, Overwatch 2"
Abbs,,"United Kingdom, India","February  6, 1999 (age 26)",Active,Support,ZoKorp Esports,"$13,816","Ana, Zenyatta, Lúcio","Overwatch, Overwatch 2"
h9mpe,,Sweden,"February 14, 1994 (age 31)",Active,"Support, Coach",AWW YEAH,"$8,939","Ana, Lifeweaver, Baptiste","Overwatch, Overwatch 2"
Skitsa,,Israel,,Retired,DPS,,"$1,376",,Overwatch 2
Avo,,France,"November 18, 2003 (age 21)",Active,DPS,,"$4,865","Ashe, Hanzo, Widowmaker","Overwatch, Overwatch 2"
Theomatic,,"South Africa, Sweden","January 15, 2001 (age 24)",Retired,Tank,,"$5,566","Winston, Orisa, Sigma","Overwatch, Overwatch 2"
Olli,,Finland,"August 27, 2002 (age 22)",Active,"Coach, Support",,"$8,334","Baptiste, Kiriko, Ana","Overwatch, Overwatch 2"
ANJ,,Netherlands,"July  9, 1997 (age 28)",Active,Support,Wasp X Ohhhh No,"$24,284","Lúcio, Mercy, Brigitte","Overwatch, Overwatch 2"
kai41,,Kazakhstan,"December 16, 2005 (age 19)",Inactive,DPS,,"$1,611","Tracer, Genji, Echo","Overwatch, Overwatch 2"
Zydra,,Austria,"September 26, 2002 (age 22)",Active,DPS,,"$3,183","Sombra, Sojourn, Cassidy","Overwatch, Overwatch 2"
Depsi,,Finland,"August 13, 2004 (age 20)",Active,Tank,,$380,"Sigma, Orisa, Junker Queen","Overwatch, Overwatch 2"
Tama,,Austria,December  5,Active,Tank,Team Vision,"$3,874","Orisa, Winston, Doomfist",Overwatch 2
Podonova,,Belgium,,Retired,Support,,"$2,465","Kiriko, Baptiste, Ana","Overwatch, Overwatch 2"
gcb,,"Northern Ireland, Ireland","November 13, 2002 (age 22)",Active,Support,,"$1,811","Lúcio, Brigitte, Lifeweaver","Overwatch, Overwatch 2"
Lutu,,Germany,"April 14, 2002 (age 23)",Active,DPS,,$640,"Tracer, Widowmaker, Ashe","Overwatch, Overwatch 2"
SterbeGern,,,,,,,,,
Jack,,,,,,,,,
Helmerdrake,,,,,,,,,
Waynon,,,,,,,,,
Kurama,,Portugal,,Active,DPS,,"$2,133","Tracer, Genji, Hanzo","Overwatch, Overwatch 2"
Tricky,,,,,,,,,
Sonne,,"United States, Portugal","June  9, 2002 (age 23)",Active,Tank,,"$1,910","Winston, Ramattra, D.Va","Overwatch, Overwatch 2"
Reisu,,United Kingdom,"May 23, 2006 (age 19)",Active,Support,Supershy,$274,"Kiriko, Ana, Baptiste",Overwatch 2
RodFD,,Portugal,"April  5, 2004 (age 21)",Active,Support,,"$1,384","Lúcio, Mercy, Baptiste",Overwatch 2
Nielou,,,,,,,,,
Kabetaijin,,France,"October 30, 2003 (age 21)",Retired,DPS,,$270,"Widowmaker, Sojourn, Echo",Overwatch 2
ImScared22,,,,,,,,,
KZR,,,,,,,,,
Neliozu,,Germany,"July 19, 2004 (age 21)",Active,Support,,$304,"Ana, Kiriko, Zenyatta",Overwatch 2
Chase,Oleksandr Okseschenko,Ukraine,"April 23, 2004 (age 21)",Active,Tank,,"$20,400","Wrecking Ball, Winston, Doomfist","Overwatch, Overwatch 2"
Admiral,,Estonia,"May 28, 2001 (age 24)",Active,Support,Geekay Esports,"$99,519","Lúcio, Brigitte, Lifeweaver","Overwatch, Overwatch 2"
loren,,Spain,"June  4, 2003 (age 22)",Inactive,DPS,,"$3,684","Echo, Mei, Sojourn","Overwatch, Overwatch 2"
Psych0,,Norway,,Active,DPS,,"$10,761","Genji, Tracer, Echo","Overwatch, Overwatch 2"
KaiBa,,Netherlands,"January  2, 1999 (age 26)",Inactive,DPS,,"$1,460",,Overwatch 2
Ailiseu,,"Ireland, United Kingdom","August  1, 2004 (age 20)",Inactive,Tank,,"$12,840","Wrecking Ball, Winston, Orisa","Overwatch, Overwatch 2"
eis,,Germany,"February 25, 2006 (age 19)",Active,Tank,Virtus.pro,"$9,640","D.Va, Doomfist, Winston","Overwatch, Overwatch 2"
Bya,,"Germany, China","October  1, 2006 (age 18)",Inactive,Support,,"$7,937","Brigitte, Mercy, Lúcio","Overwatch, Overwatch 2"
abheek,,United Kingdom,"January  6, 2002 (age 23)",Inactive,Support,,"$9,104","Zenyatta, Baptiste, Ana","Overwatch, Overwatch 2"
phi,,Germany,"August 16, 2001 (age 23)",Active,"Coach, DPS",,"$17,168","Tracer, Cassidy, Mei","Overwatch, Overwatch 2"
Sauna,,Finland,"October  3, 2004 (age 20)",Inactive,DPS,SrPeakCheck,"$46,960","Tracer, Pharah, Genji","Overwatch, Overwatch 2"
Shax,,Denmark,"April  9, 1999 (age 26)",Retired,DPS,,"$37,673","Tracer, Widowmaker, Cassidy","Overwatch, Overwatch 2"
Dannedd,,Sweden,"December  3, 1997 (age 27)",Active,DPS,SrPeakCheck,"$55,278","Doomfist, Genji, Hanzo","Overwatch, Overwatch 2"
Erikek,,"Spain, Denmark","July 16, 2003 (age 22)",Active,Tank,,"$3,753","Winston, Ramattra, Sigma","Overwatch, Overwatch 2"
Dolla,,Finland,"September 16, 2002 (age 22)",Retired,Support,,"$22,841","Lúcio, Brigitte, Baptiste","Overwatch, Overwatch 2"
Galaa,,Spain,"April  9, 2004 (age 21)",Active,Support,Virtus.pro,"$30,436","Illari, Kiriko, Lúcio","Overwatch, Overwatch 2"
MCD,Lee Jeong-ho,South Korea,"December 25, 1998 (age 26)",Active,Support,,"$58,780","Zenyatta, Ana, Moira","Overwatch, Overwatch 2"
china,,,,,,,,,
Kio,,France,"March 11, 2006 (age 19)",Active,DPS,,"$5,283","Cassidy, Widowmaker, Sojourn","Overwatch, Overwatch 2"
KroxZ,,France,"September  1, 2000 (age 24)",Active,Tank,,"$9,633","Reinhardt, Orisa, Roadhog","Overwatch, Overwatch 2"
GOGO,,France,"September  6, 2003 (age 21)",Active,Support,Frost Tails eSport,"$5,246","Lúcio, Brigitte, Baptiste","Overwatch, Overwatch 2"
Schef,,Netherlands,"August 15, 2002 (age 22)",Active,"Analyst, Support",,"$1,712","Brigitte, Lúcio",Overwatch 2
EgS,,Poland,"September 22, 2005 (age 19)",Active,Support,,"$1,805","Kiriko, Baptiste",Overwatch 2
xzodyal,,Spain,"December 29, 2006 (age 18)",Active,"DPS, Coach",Gen.G Esports,"$10,747","Sojourn, Cassidy, Widowmaker",Overwatch 2
Tred,,United Kingdom,"June 10, 2005 (age 20)",Active,Tank,"Team Peps, St. Clair College","$16,149","D.Va, Doomfist, Winston","Overwatch, Overwatch 2"
yoham,,Denmark,"July 28, 2003 (age 22)",Active,Support,,"$7,580","Baptiste, Kiriko, Ana","Overwatch, Overwatch 2"
Lv1Crook,,"Hungary, Austria","July  9, 2005 (age 20)",Active,Support,,"$14,893","Brigitte, Baptiste, Zenyatta","Overwatch, Overwatch 2"
Daan,,Netherlands,"February  6, 2001 (age 24)",Retired,Tank,,"$13,466","Wrecking Ball, Winston, Reinhardt","Overwatch, Overwatch 2"
TwolzZ,,Netherlands,"December 23, 2001 (age 23)",Active,"Tank, Flex",Extinction,"$10,878","D.Va, Sigma, Zarya","Overwatch, Overwatch 2"
Pak,,France,,Active,DPS,Frost Tails eSport,"$7,041","Genji, Mei, Symmetra","Overwatch, Overwatch 2"
Zorrow,,Sweden,"February 16, 2006 (age 19)",Active,"DPS, Coach",,"$3,723","Cassidy, Sojourn, Ashe",Overwatch 2
W1ll,,Denmark,"November 17, 2005 (age 19)",Retired,DPS,,"$2,685","Echo, Tracer, Sojourn","Overwatch, Overwatch 2"
Raajaro,,Finland,"September  3, 2005 (age 19)",Active,Tank,,"$14,341","Sigma, Ramattra, Winston",Overwatch 2
Hitori,,Germany,"December  1, 2004 (age 20)",Active,Tank,Extinction,"$8,645","Winston, Ramattra, D.Va","Overwatch, Overwatch 2"
Sobek,,United Kingdom,"November  2, 2001 (age 23)",Active,Support,,"$7,253","Lúcio, Brigitte, Mercy","Overwatch, Overwatch 2"
Tekuno,,United Kingdom,"March 29, 2003 (age 22)",Active,Support,,"$3,539","Ana, Kiriko, Baptiste",Overwatch 2
R3flect,,Norway,"June  2, 2005 (age 20)",Active,Support,,"$2,303","Baptiste, Ana, Brigitte","Overwatch, Overwatch 2"
Wex,,Romania,"December  5, 2001 (age 23)",Active,DPS,,"$1,717","Ashe, Sojourn, Tracer","Overwatch, Overwatch 2"
Strebor,,United Kingdom,,Active,Support,,"$4,382","Lúcio, Brigitte, Zenyatta","Overwatch, Overwatch 2"
unto,,,,,,,,,
icav,,Poland,"October 15, 2004 (age 20)",Active,DPS,Ereus,"$1,928","Widowmaker, Cassidy, Ashe","Overwatch, Overwatch 2"
Philion,,Poland,"June 12, 1998 (age 27)",Active,DPS,,"$2,307","Tracer, Pharah, Echo","Overwatch, Overwatch 2"
FakeJake,,Poland,"April 20, 1999 (age 26)",Active,DPS,Gass T3 is not a Job,"$1,916","Tracer, Echo, Genji","Overwatch, Overwatch 2"
Kapey774,,Poland,"July  7, 2004 (age 21)",Retired,"Manager, Tank",,"$1,774","Sigma, Orisa, Ramattra",Overwatch 2
teksol,,Poland,"January 25, 2004 (age 21)",Active,Support,Ereus,"$2,967","Baptiste, Illari, Juno","Overwatch, Overwatch 2"
Flipper,,Poland,"April 12, 2003 (age 22)",Active,Support,,"$1,303","Lúcio, Brigitte, Mercy",Overwatch 2
Isak,,Norway,,Active,"Tank, Support",,"$7,699","Zarya, Roadhog, D.Va","Overwatch, Overwatch 2"
Chazm,,United Kingdom,,Active,Tank,AWW YEAH,"$7,668",,"Overwatch, Overwatch 2"
Sypeh,,Denmark,,Inactive,"Support, DPS",,"$2,358","Zenyatta, Genji, Kiriko","Overwatch, Overwatch 2"
roho,,Saudi Arabia,"January 23, 2005 (age 20)",Active,DPS,,"$8,028","Sojourn, Ashe, Widowmaker",Overwatch 2
gucci,,Finland,"April 14, 2006 (age 19)",Active,DPS,,"$2,797","Echo, Tracer, Ashe","Overwatch, Overwatch 2"
TVNT,Abdualziz Altmimi,Saudi Arabia,"October 19, 2005 (age 19)",Active,Tank,Twisted Minds,"$49,889","Sigma, D.Va, Ramattra","Overwatch, Overwatch 2"
AOY,Abdulrahman Yousef,Saudi Arabia,"January 18, 2003 (age 22)",Active,"Support, Tank",,"$12,761","Lúcio, Ana, Baptiste","Overwatch, Overwatch 2"
Scyle,,Sweden,"October 27, 1999 (age 25)",Active,"Support, DPS",,"$16,051","Kiriko, Tracer, Zenyatta","Overwatch, Overwatch 2"
Kilaa,,"France, Japan","November 10, 2004 (age 20)",Active,DPS,Wasp X Ohhhh No,"$2,059","Cassidy, Widowmaker, Tracer","Overwatch, Overwatch 2"
M3WS,,Spain,"April 27, 2000 (age 25)",Active,DPS,,"$1,900","Tracer, Genji, Echo","Overwatch, Overwatch 2"
Romani,,"United States, Turkey","March  3, 2003 (age 22)",Active,Tank,,"$7,608","Junker Queen, Roadhog, Ramattra","Overwatch, Overwatch 2"
Soax,,Germany,"July 31, 2003 (age 21)",Active,Support,"0907, St. Clair College","$2,402","Brigitte, Mercy, Lúcio","Overwatch, Overwatch 2"
Natlocks,,France,"June 19, 2003 (age 22)",Retired,Support,,"$5,517","Baptiste, Kiriko, Ana","Overwatch, Overwatch 2"
Zerggy,,United Kingdom,"March 16, 2003 (age 22)",Active,DPS,,"$1,497",,"Overwatch, Overwatch 2"
Qrxu,,Germany,"October  2, 2004 (age 20)",Active,DPS,Wasp X Ohhhh No,"$4,640","Widowmaker, Ashe, Genji","Overwatch, Overwatch 2"
Bogur,,"Bulgaria, Belarus","August 29, 1999 (age 25)",Inactive,"Tank, Streamer",,"$14,014","Winston, Reinhardt, Orisa","Overwatch, Overwatch 2"
eskay,,United States,"August 13, 2001 (age 23)",Inactive,"Support, Streamer",,"$13,512","Lúcio, Lifeweaver, Ana","Overwatch, Overwatch 2"
mL7,,Romania,"January 15, 1995 (age 30)",Active,"Support, Streamer",SrPeakCheck,"$22,007",,"Overwatch, Overwatch 2"
WMaimone,,"Wales, United Kingdom","April 26, 2004 (age 21)",Active,DPS,Geekay Esports,"$49,527","Tracer, Echo, Sombra","Overwatch, Overwatch 2"
Kellex,,Denmark,"February  9, 1999 (age 26)",Active,Support,Al Qadsiah,"$115,750","Lúcio, Mercy, Baptiste","Overwatch, Overwatch 2"
Skairipa,,Romania,"May 19, 2001 (age 24)",Active,Support,The Ultimates,"$50,536","Baptiste, Kiriko, Ana","Overwatch, Overwatch 2"
Niko,,Denmark,"January 28, 2001 (age 24)",Inactive,DPS,,"$40,789","Genji, Pharah, Echo","Overwatch, Overwatch 2"
xzodyal,,Spain,"December 29, 2006 (age 18)",Active,"DPS, Coach",Gen.G Esports,"$10,747","Sojourn, Cassidy, Widowmaker",Overwatch 2
Tred,,United Kingdom,"June 10, 2005 (age 20)",Active,Tank,"Team Peps, St. Clair College","$16,149","D.Va, Doomfist, Winston","Overwatch, Overwatch 2"
FDGod,,"France, Indonesia","August 27, 2001 (age 23)",Active,Support,Team Peps,"$66,322","Lúcio, Brigitte, Mercy","Overwatch, Overwatch 2"
